latitude;longitude;altitude;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
46.0374;4.108761;277.26;1;0;3170;0;168.76;6;real;
46.037397;4.109019;277.46;1;0;3170;0.02;168.74;;;
46.037392;4.109278;277.64;1;1;3169;0.04;168.72;;;
46.037389;4.109536;277.89;1;1;3169;0.06;168.7;;;
46.037386;4.109794;278.08;1;1;3169;0.08;168.68;;;
46.037383;4.110053;278.27;1;1;3169;0.1;168.66;;;
46.037381;4.110311;278.58;1;1;3169;0.12;168.64;;;
46.037375;4.110828;279;1;2;3168;0.16;168.6;;;
46.037375;4.111086;279.11;1;2;3168;0.18;168.58;;;
46.037372;4.111344;279.28;1;2;3168;0.2;168.56;;;
46.037369;4.111603;279.46;1;2;3168;0.22;168.54;;;
46.037367;4.111861;279.63;1;3;3167;0.24;168.52;;;
46.037364;4.112119;279.79;1;3;3167;0.26;168.5;;;
46.037361;4.112636;280.18;1;3;3167;0.3;168.46;;;
46.037358;4.112894;280.41;1;3;3167;0.32;168.44;;;
46.037356;4.113153;280.59;1;4;3166;0.34;168.42;;;
46.037356;4.113411;280.68;0;4;3166;0.36;168.4;;;
46.037353;4.113669;280.71;0;4;3166;0.38;168.38;;;
46.03735;4.113928;280.72;0;4;3166;0.4;168.36;;;
46.037347;4.114186;280.68;0;4;3166;0.42;168.34;;;
46.037347;4.114444;280.75;0;4;3166;0.44;168.32;;;
46.037344;4.114703;280.78;0;4;3166;0.46;168.3;;;
46.037342;4.114961;280.79;0;4;3166;0.48;168.28;;;
46.037339;4.115219;280.71;0;4;3166;0.5;168.26;;;
46.037333;4.115478;280.7;-1;4;3166;0.52;168.24;;;
46.037328;4.115736;280.68;-1;4;3166;0.54;168.22;;;
46.037328;4.116511;279.81;-2;4;3166;0.6;168.16;;;
46.037342;4.116767;279.5;-2;4;3166;0.62;168.14;;;
46.037358;4.117025;279.08;-2;4;3166;0.64;168.12;;;
46.037378;4.117283;278.93;-2;4;3166;0.66;168.1;;;
46.037403;4.117539;279.01;-2;4;3166;0.68;168.08;;;
46.037428;4.117794;279.35;-1;4;3166;0.7;168.06;7;;
46.03745;4.11805;279.89;1;5;3165;0.72;168.04;;;
46.037475;4.118306;276.67;3;5;3165;0.74;168.02;;;
46.037469;4.118564;280.44;4;5;3165;0.76;168;;;
46.037403;4.1188;280.95;6;6;3164;0.78;167.98;;;
46.037308;4.119022;281.8;7;7;3163;0.8;167.96;;;
46.037225;4.11925;283.27;6;8;3162;0.82;167.94;;;
46.037175;4.119497;283.7;6;9;3161;0.84;167.92;;;
46.037147;4.119753;284.74;6;10;3160;0.86;167.9;;;
46.037131;4.120008;285.67;5;11;3159;0.88;167.88;;;
46.037122;4.120267;286.62;5;12;3158;0.9;167.86;;;
46.037139;4.120525;287.97;4;13;3157;0.92;167.84;;;
46.037183;4.120775;288.77;4;14;3156;0.94;167.82;;;
46.037239;4.121019;289.36;3;15;3155;0.96;167.8;;;
46.037256;4.121275;290.3;2;16;3154;0.98;167.78;;;
46.037189;4.121514;291.21;2;16;3154;1;167.76;;;
46.037125;4.121753;291.27;1;16;3154;1.02;167.74;;;
46.0371;4.122008;290.96;1;16;3154;1.04;167.72;;;
46.0371;4.122267;290.9;1;16;3154;1.06;167.7;;;
46.0371;4.122525;290.94;0;16;3154;1.08;167.68;;;
46.037064;4.123811;292.52;2;18;3152;1.18;167.58;;;
46.037014;4.124061;293.12;2;18;3152;1.2;167.56;;;
46.036978;4.124314;293.33;2;18;3152;1.22;167.54;;;
46.036975;4.124569;293.48;2;19;3151;1.24;167.52;;;
46.037008;4.124825;293.83;1;19;3151;1.26;167.5;;;
46.037056;4.125075;294.12;1;19;3151;1.28;167.48;;;
46.037111;4.125319;294.25;1;19;3151;1.3;167.46;;;
46.037172;4.125561;294.53;1;19;3151;1.32;167.44;;;
46.037214;4.125811;294.74;1;20;3150;1.34;167.42;;;
46.037217;4.126069;294.88;1;20;3150;1.36;167.4;;;
46.037186;4.126325;295.24;1;20;3150;1.38;167.38;;;
46.037147;4.126578;295.53;1;20;3150;1.4;167.36;;;
46.037111;4.126831;295.76;1;20;3150;1.42;167.34;;;
46.037072;4.127083;296.05;2;21;3149;1.44;167.32;;;
46.037036;4.127336;296.22;2;21;3149;1.46;167.3;;;
46.037;4.127589;296.46;2;21;3149;1.48;167.28;;;
46.03695;4.127836;296.74;2;21;3149;1.5;167.26;;;
46.036897;4.128083;297.1;2;21;3149;1.52;167.24;;;
46.036839;4.128328;297.75;2;22;3148;1.54;167.22;;;
46.036781;4.128572;298.01;2;22;3148;1.56;167.2;;;
46.036722;4.128817;298.36;2;22;3148;1.58;167.18;;;
46.036661;4.129061;298.13;2;22;3148;1.6;167.16;;;
46.036603;4.129303;298.33;2;23;3147;1.62;167.14;;;
46.036547;4.12955;299.28;2;23;3147;1.64;167.12;;;
46.036481;4.129789;299.3;1;23;3147;1.66;167.1;;;
46.036408;4.130028;300.21;1;24;3146;1.68;167.08;;;
46.036336;4.130261;300.39;1;24;3146;1.7;167.06;;;
46.036264;4.1305;300.21;1;24;3146;1.72;167.04;;;
46.036197;4.130739;300.74;1;24;3146;1.74;167.02;;;
46.036156;4.130989;300.56;1;24;3146;1.76;167;;;
46.036128;4.131244;299.79;1;24;3146;1.78;166.98;;;
46.036108;4.131503;300.65;1;24;3146;1.8;166.96;;;
46.036092;4.131758;300.34;1;25;3145;1.82;166.94;;;
46.036089;4.132017;301.43;2;26;3144;1.84;166.92;;;
46.036114;4.132272;304.32;2;27;3143;1.86;166.9;;;
46.036161;4.132522;304.91;2;28;3142;1.88;166.88;;;
46.036214;4.132769;304.44;2;28;3142;1.9;166.86;;;
46.036267;4.133017;303.53;2;28;3142;1.92;166.84;;;
46.036319;4.133264;303.16;2;28;3142;1.94;166.82;;;
46.036367;4.133511;304.39;2;28;3142;1.96;166.8;;;
46.036411;4.133761;304.53;2;28;3142;1.98;166.78;;;
46.036442;4.134017;304.33;2;28;3142;2;166.76;;;
46.036453;4.134272;305.03;2;29;3141;2.02;166.74;;;
46.036458;4.134531;305.36;2;29;3141;2.04;166.72;;;
46.036461;4.134789;305.72;2;29;3141;2.06;166.7;;;
46.036461;4.135047;306.07;2;30;3140;2.08;166.68;;;
46.036475;4.135306;306.27;2;30;3140;2.1;166.66;;;
46.036517;4.135556;307.34;2;31;3139;2.12;166.64;;;
46.036569;4.135803;307.19;2;31;3139;2.14;166.62;;;
46.036625;4.13605;308.36;2;31;3139;2.16;166.6;;;
46.037078;4.138278;307.19;1;35;3135;2.34;166.42;;;
46.037153;4.138511;308.74;2;36;3134;2.36;166.4;;;
46.037236;4.138739;310.01;3;37;3133;2.38;166.38;;;
46.037322;4.138967;310.86;3;37;3133;2.4;166.36;;;
46.037414;4.139189;310.7;2;37;3133;2.42;166.34;;;
46.037514;4.139406;310.21;2;37;3133;2.44;166.32;;;
46.037611;4.139619;310.71;1;37;3133;2.46;166.3;;;
46.037714;4.139833;310.64;0;37;3133;2.48;166.28;;;
46.037814;4.14005;310.18;0;37;3133;2.5;166.26;;;
46.037911;4.140267;310.45;0;37;3133;2.52;166.24;;;
46.037997;4.140492;310.51;0;37;3133;2.54;166.22;;;
46.038083;4.140719;310.55;0;37;3133;2.56;166.2;;;
46.038169;4.140947;310.04;0;37;3133;2.58;166.18;;;
46.038256;4.141172;309.96;0;37;3133;2.6;166.16;;;
