latitude;longitude;altitude;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
46.100881;6.590289;626.88;-1;0;4394;0;179;5;real;
46.1007;6.590269;626.68;-1;0;4394;0.02;178.98;;;
46.100519;6.59025;626.35;-1;0;4394;0.04;178.96;;;
46.100342;6.590231;626.06;-2;0;4394;0.06;178.94;;;
46.100161;6.590211;625.77;-2;0;4394;0.08;178.92;;;
46.099983;6.590192;625.52;-2;0;4394;0.1;178.9;;;
46.099803;6.590169;625.13;-2;0;4394;0.12;178.88;;;
46.099444;6.590128;624.27;-2;0;4394;0.16;178.84;;;
46.099264;6.590106;624.11;-1;0;4394;0.18;178.82;6;;
46.099086;6.590086;623.91;-1;0;4394;0.2;178.8;;;
46.098906;6.590064;623.74;-1;0;4394;0.22;178.78;;;
46.098728;6.590042;623.65;0;0;4394;0.24;178.76;;;
46.098547;6.590022;623.76;1;0;4394;0.26;178.74;;;
46.098189;6.589981;624.19;2;0;4394;0.3;178.7;;;
46.098011;6.589956;624.55;2;0;4394;0.32;178.68;;;
46.097831;6.589939;625.03;2;0;4394;0.34;178.66;;;
46.09765;6.589922;625.62;2;0;4394;0.36;178.64;;;
46.097472;6.589906;626.4;2;0;4394;0.38;178.62;;;
46.097292;6.589881;620.69;2;1;4393;0.4;178.6;;;
46.097114;6.589864;618.91;2;3;4391;0.42;178.58;;;
46.096933;6.589878;624.81;3;6;4388;0.44;178.56;;;
46.096772;6.589972;627.9;4;8;4386;0.46;178.54;;;
46.096661;6.590172;629.14;5;10;4384;0.48;178.52;;;
46.096631;6.590425;631.42;6;11;4383;0.5;178.5;;;
46.096647;6.590681;632.97;5;12;4382;0.52;178.48;;;
46.096669;6.590936;632.79;4;13;4381;0.54;178.46;;;
46.0966;6.591697;635.57;1;15;4379;0.6;178.4;;;
46.096544;6.591942;634.75;1;16;4378;0.62;178.38;;;
46.096497;6.592192;634.11;3;16;4378;0.64;178.36;;;
46.096458;6.592444;634.26;5;16;4378;0.66;178.34;;;
46.096436;6.5927;636.14;6;17;4377;0.68;178.32;;;
46.096425;6.592958;637.53;8;18;4376;0.7;178.3;;;
46.096419;6.593217;639.51;9;20;4374;0.72;178.28;;;
46.096419;6.593475;641.47;8;22;4372;0.74;178.26;;;
46.096419;6.593733;643.32;7;23;4371;0.76;178.24;;;
46.096419;6.593992;645.06;6;25;4369;0.78;178.22;;;
46.096419;6.59425;646.48;5;26;4368;0.8;178.2;;;
46.096419;6.594511;647.65;5;27;4367;0.82;178.18;;;
46.096406;6.594767;647.62;5;28;4366;0.84;178.16;;;
46.096378;6.595022;647.83;6;28;4366;0.86;178.14;;;
46.096347;6.595278;648.85;6;29;4365;0.88;178.12;;;
46.096317;6.595533;649.48;6;30;4364;0.9;178.1;;;
46.096286;6.595786;651.46;6;31;4363;0.92;178.08;;;
46.096267;6.596044;652.76;5;32;4362;0.94;178.06;;;
46.096264;6.596303;653.76;5;33;4361;0.96;178.04;;;
46.096289;6.596558;654.19;5;34;4360;0.98;178.02;;;
46.096358;6.596797;655.91;4;35;4359;1;178;;;
46.096406;6.597044;656.58;4;36;4358;1.02;177.98;;;
46.09645;6.597294;657.43;4;36;4358;1.04;177.96;;;
46.096469;6.597553;657.65;4;36;4358;1.06;177.94;;;
46.096456;6.597808;657.26;4;37;4357;1.08;177.92;;;
46.096117;6.598967;663.21;8;44;4350;1.18;177.82;;;
46.09595;6.598914;666.04;9;46;4348;1.2;177.8;;;
46.095858;6.598697;669.7;8;47;4347;1.22;177.78;;;
46.09585;6.598439;670.18;7;48;4346;1.24;177.76;;;
46.095861;6.598181;670.43;6;49;4345;1.26;177.74;;;
46.095875;6.597922;670.55;5;50;4344;1.28;177.72;;;
46.095886;6.597664;671.04;4;50;4344;1.3;177.7;;;
46.095881;6.597406;671.85;3;51;4343;1.32;177.68;;;
46.095864;6.597147;672.31;4;52;4342;1.34;177.66;;;
46.095819;6.596897;673.25;4;53;4341;1.36;177.64;;;
46.095758;6.596656;673.59;4;54;4340;1.38;177.62;;;
46.095692;6.596414;675.16;5;55;4339;1.4;177.6;;;
46.095628;6.596172;676.99;5;56;4338;1.42;177.58;;;
46.095569;6.595928;677.53;5;57;4337;1.44;177.56;;;
46.095508;6.595686;678.18;5;58;4336;1.46;177.54;;;
46.095456;6.595439;680.6;5;59;4335;1.48;177.52;;;
46.095403;6.595192;681.39;5;61;4333;1.5;177.5;;;
46.09535;6.594944;681.69;5;62;4332;1.52;177.48;;;
46.095297;6.594694;682.26;5;63;4331;1.54;177.46;;;
46.095247;6.594447;683.27;5;64;4330;1.56;177.44;;;
46.095189;6.594203;685.5;5;65;4329;1.58;177.42;;;
46.095133;6.593958;686.16;5;65;4329;1.6;177.4;;;
46.095078;6.593711;686.55;5;66;4328;1.62;177.38;;;
46.095019;6.593467;687.95;5;67;4327;1.64;177.36;;;
46.094953;6.593228;688.08;6;68;4326;1.66;177.34;;;
46.094886;6.592986;688.93;6;69;4325;1.68;177.32;;;
46.094811;6.59275;690.07;6;70;4324;1.7;177.3;;;
46.094728;6.592522;690.16;6;71;4323;1.72;177.28;;;
46.094631;6.592303;692.94;6;72;4322;1.74;177.26;;;
46.094533;6.592086;693.99;6;73;4321;1.76;177.24;;;
46.094431;6.591872;694.51;5;74;4320;1.78;177.22;;;
46.094328;6.591661;695.51;5;75;4319;1.8;177.2;;;
46.094228;6.591447;695.58;5;76;4318;1.82;177.18;;;
46.094114;6.591247;697.39;5;77;4317;1.84;177.16;;;
46.093994;6.591053;698.77;5;78;4316;1.86;177.14;;;
46.093856;6.590892;699.6;4;79;4315;1.88;177.12;;;
46.093708;6.590739;700.37;4;79;4315;1.9;177.1;;;
46.093561;6.590592;701;4;80;4314;1.92;177.08;;;
46.093414;6.590444;701.43;5;81;4313;1.94;177.06;;;
46.093264;6.590303;702.51;6;82;4312;1.96;177.04;;;
46.093117;6.590153;703.12;6;83;4311;1.98;177.02;;;
46.092975;6.589994;704.56;7;84;4310;2;177;;;
46.092847;6.589814;705.83;7;85;4309;2.02;176.98;;;
46.092728;6.589617;707.98;7;87;4307;2.04;176.96;;;
46.092628;6.589403;709.1;7;89;4305;2.06;176.94;;;
46.092531;6.589186;711.57;6;90;4304;2.08;176.92;;;
46.09245;6.588956;712.54;6;91;4303;2.1;176.9;;;
46.0924;6.588708;712.99;6;92;4302;2.12;176.88;;;
46.092364;6.588456;714.32;6;93;4301;2.14;176.86;;;
46.09235;6.5882;715.04;6;94;4300;2.16;176.84;;;
46.092447;6.585911;724.28;6;104;4290;2.34;176.66;;;
46.092361;6.585683;725.61;7;105;4289;2.36;176.64;;;
46.092239;6.585494;726.53;7;106;4288;2.38;176.62;;;
46.092094;6.585342;728.38;7;108;4286;2.4;176.6;;;
46.091931;6.585233;730.03;6;109;4285;2.42;176.58;;;
46.091756;6.585181;731.33;5;110;4284;2.44;176.56;;;
46.091575;6.585167;732.4;4;111;4283;2.46;176.54;;;
46.091397;6.585156;733.02;2;112;4282;2.48;176.52;;;
46.091217;6.585144;733.22;1;112;4282;2.5;176.5;;;
46.091039;6.585117;733.44;0;112;4282;2.52;176.48;;;
46.090864;6.585053;732.85;0;112;4282;2.54;176.46;;;
46.0907;6.58495;732.28;0;112;4282;2.56;176.44;;;
46.090533;6.584847;731.83;0;112;4282;2.58;176.42;7;;
46.090369;6.584739;731.71;0;112;4282;2.6;176.4;;;
46.090208;6.584631;731.62;0;112;4282;2.62;176.38;;;
46.090044;6.584522;731.79;1;113;4281;2.64;176.36;;;
46.089878;6.584419;732.25;1;113;4281;2.66;176.34;;;
46.089714;6.584314;732.7;1;113;4281;2.68;176.32;;;
46.08955;6.584208;733.03;2;113;4281;2.7;176.3;;;
46.089386;6.584103;733.62;2;114;4280;2.72;176.28;;;
46.089222;6.583992;734.04;2;114;4280;2.74;176.26;;;
46.089058;6.583892;734.52;2;114;4280;2.76;176.24;;;
46.088892;6.583789;734.92;2;115;4279;2.78;176.22;;;
46.088728;6.583683;735.52;2;115;4279;2.8;176.2;;;
46.088625;6.583539;735.85;2;116;4278;2.82;176.18;;;
46.088525;6.583364;736.1;2;116;4278;2.84;176.16;;;
46.088364;6.583406;736.05;2;116;4278;2.86;176.14;;;
46.088194;6.583317;736.42;1;117;4277;2.88;176.12;;;
46.088031;6.583211;737.14;1;117;4277;2.9;176.1;;;
46.087867;6.583106;737.65;0;117;4277;2.92;176.08;;;
46.087703;6.583;737.83;-1;117;4277;2.94;176.06;;;
46.087544;6.582878;736.82;-2;117;4277;2.96;176.04;;;
46.087378;6.582778;735.93;-3;117;4277;2.98;176.02;;;
46.087211;6.582681;735.05;-4;117;4277;3;176;;;
46.087044;6.582583;734.11;-5;117;4277;3.02;175.98;;;
46.086883;6.582469;733.15;-5;117;4277;3.04;175.96;;;
46.086722;6.582358;731.93;-5;117;4277;3.06;175.94;;;
46.086567;6.582225;730.38;-5;117;4277;3.08;175.92;;;
46.086464;6.582019;729.44;-5;117;4277;3.1;175.9;;;
