latitude;longitude;altitude;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
43.298833;-0.420975;168.91;2;0;3663;0;162.7;4;real;
43.298903;-0.4212;169.4;2;1;3662;0.02;162.68;;;
43.298975;-0.421428;169.66;1;1;3662;0.04;162.66;;;
43.299044;-0.421656;170.03;1;1;3662;0.06;162.64;;;
43.299128;-0.421875;170.31;1;2;3661;0.08;162.62;;;
43.299208;-0.422092;170.49;1;2;3661;0.1;162.6;;;
43.299297;-0.422308;170.55;1;2;3661;0.12;162.58;;;
43.299481;-0.422733;170.47;0;2;3661;0.16;162.54;;;
43.299572;-0.422944;170.41;0;2;3661;0.18;162.52;;;
43.299667;-0.423153;170.37;0;2;3661;0.2;162.5;;;
43.299753;-0.423372;170.19;-1;2;3661;0.22;162.48;;;
43.299833;-0.423592;169.81;-1;2;3661;0.24;162.46;;;
43.299908;-0.423814;169.4;-2;2;3661;0.26;162.44;;;
43.300058;-0.424264;168.63;-1;2;3661;0.3;162.4;;;
43.300125;-0.424492;168.39;-1;2;3661;0.32;162.38;;;
43.300192;-0.424719;168.31;0;2;3661;0.34;162.36;;;
43.300258;-0.42495;168.32;0;2;3661;0.36;162.34;;;
43.300314;-0.425183;168.51;1;2;3661;0.38;162.32;;;
43.300369;-0.425419;168.72;1;2;3661;0.4;162.3;;;
43.300419;-0.425656;168.97;1;2;3661;0.42;162.28;;;
43.300467;-0.425894;169.22;0;3;3660;0.44;162.26;;;
43.300514;-0.426131;169.36;0;3;3660;0.46;162.24;;;
43.300561;-0.426369;169.53;0;3;3660;0.48;162.22;;;
43.300608;-0.426608;169.63;0;3;3660;0.5;162.2;;;
43.300658;-0.426844;169.73;0;3;3660;0.52;162.18;;;
43.300714;-0.427078;169.78;1;4;3659;0.54;162.16;;;
43.300917;-0.427761;170.19;1;4;3659;0.6;162.1;;;
43.301;-0.427981;170.29;1;4;3659;0.62;162.08;;;
43.301083;-0.428197;170.34;1;5;3658;0.64;162.06;;;
43.301167;-0.428417;170.54;1;5;3658;0.66;162.04;;;
43.30125;-0.428636;170.77;1;5;3658;0.68;162.02;;;
43.301331;-0.428856;170.96;1;5;3658;0.7;162;;;
43.301406;-0.429081;171.12;1;5;3658;0.72;161.98;;;
43.301478;-0.429306;171.2;1;6;3657;0.74;161.96;;;
43.30155;-0.429531;171.29;1;6;3657;0.76;161.94;;;
43.301611;-0.429764;171.52;1;6;3657;0.78;161.92;;;
43.301678;-0.429992;171.79;1;6;3657;0.8;161.9;;;
43.301731;-0.430228;172.16;1;7;3656;0.82;161.88;;;
43.301781;-0.430464;172.46;2;7;3656;0.84;161.86;;;
43.301831;-0.430703;172.74;2;7;3656;0.86;161.84;;;
43.301878;-0.430939;173.03;2;8;3655;0.88;161.82;;;
43.301925;-0.431178;173.34;1;8;3655;0.9;161.8;;;
43.301983;-0.431411;173.67;1;8;3655;0.92;161.78;;;
43.302044;-0.431642;173.89;0;8;3655;0.94;161.76;;;
43.302117;-0.431869;173.89;0;8;3655;0.96;161.74;;;
43.302189;-0.432094;173.64;-1;8;3655;0.98;161.72;;;
43.302264;-0.432319;173.28;-1;8;3655;1;161.7;;;
43.302336;-0.432544;172.82;-1;8;3655;1.02;161.68;;;
43.302406;-0.432769;172.25;-2;8;3655;1.04;161.66;;;
43.302481;-0.432994;171.7;-2;8;3655;1.06;161.64;;;
43.302556;-0.433219;171.3;-2;8;3655;1.08;161.62;;;
43.302972;-0.434311;169.03;-2;8;3655;1.18;161.52;;;
43.303061;-0.434525;168.65;-2;8;3655;1.2;161.5;;;
43.30315;-0.434739;168.21;-2;8;3655;1.22;161.48;;;
43.303239;-0.434953;167.73;-2;8;3655;1.24;161.46;;;
43.303333;-0.435164;167.28;-2;8;3655;1.26;161.44;;;
43.303431;-0.435372;166.72;-2;8;3655;1.28;161.42;;;
43.303528;-0.435578;166.55;-2;8;3655;1.3;161.4;;;
43.303625;-0.435786;166.25;-2;8;3655;1.32;161.38;;;
43.303725;-0.435992;165.98;-1;8;3655;1.34;161.36;;;
43.303822;-0.436197;165.68;-1;8;3655;1.36;161.34;;;
43.303914;-0.436408;165.39;-1;8;3655;1.38;161.32;;;
43.303994;-0.436631;165.12;-1;8;3655;1.4;161.3;;;
