latitude;longitude;altitude;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
45.913019;6.7058;577.77;0;0;659;0;22.35;4;real;
45.913156;6.705967;577.83;0;0;659;0.02;22.33;;;
45.913297;6.706125;577.92;0;0;659;0.04;22.31;;;
45.913436;6.706289;578.14;0;0;659;0.06;22.29;;;
45.913578;6.706447;578.04;0;0;659;0.08;22.27;;;
45.913714;6.706617;578.11;1;0;659;0.1;22.25;;;
45.913856;6.706775;578.38;1;0;659;0.12;22.23;;;
45.914136;6.707097;578.84;1;1;658;0.16;22.19;;;
45.914028;6.707294;578.93;1;1;658;0.18;22.17;;;
45.913914;6.707494;579.09;1;1;658;0.2;22.15;;;
45.9138;6.707694;579.26;0;1;658;0.22;22.13;;;
45.913686;6.707894;579.36;0;1;658;0.24;22.11;;;
45.913567;6.708086;579.24;0;1;658;0.26;22.09;;;
45.913319;6.708461;578.77;1;1;658;0.3;22.05;;;
45.913419;6.708656;579.57;1;1;658;0.32;22.03;;;
45.913597;6.708697;579.47;1;2;657;0.34;22.01;;;
45.913772;6.708761;579.53;1;2;657;0.36;21.99;;;
45.913936;6.708864;579.69;1;2;657;0.38;21.97;;;
45.9141;6.708969;579.96;1;2;657;0.4;21.95;;;
45.914264;6.709078;580.12;1;2;657;0.42;21.93;;;
45.914428;6.709186;580.23;1;3;656;0.44;21.91;;;
45.914592;6.709292;580.4;1;3;656;0.46;21.89;;;
45.914756;6.709397;580.59;1;3;656;0.48;21.87;;;
45.914919;6.709506;580.79;1;3;656;0.5;21.85;;;
45.915083;6.709614;581.07;0;3;656;0.52;21.83;;;
45.915244;6.709722;581.38;0;3;656;0.54;21.81;;;
45.915736;6.71005;581.22;1;3;656;0.6;21.75;;;
45.915897;6.710158;581.39;1;3;656;0.62;21.73;;;
45.916061;6.710267;581.55;1;4;655;0.64;21.71;;;
45.916225;6.710375;581.9;1;4;655;0.66;21.69;;;
45.916386;6.710486;582.21;1;4;655;0.68;21.67;;;
45.91655;6.710594;582.51;1;4;655;0.7;21.65;;;
45.916714;6.710703;582.69;1;4;655;0.72;21.63;;;
45.916878;6.710811;582.9;1;5;654;0.74;21.61;;;
45.917039;6.710919;583.07;1;5;654;0.76;21.59;;;
45.917203;6.711028;583.26;1;5;654;0.78;21.57;;;
45.917367;6.711136;583.39;1;5;654;0.8;21.55;;;
45.917531;6.711247;583.56;1;5;654;0.82;21.53;;;
45.917692;6.711356;583.66;1;6;653;0.84;21.51;;;
45.917856;6.711464;583.81;1;6;653;0.86;21.49;;;
45.918019;6.711572;583.87;1;6;653;0.88;21.47;;;
45.918183;6.711681;583.9;1;6;653;0.9;21.45;;;
45.918344;6.711789;583.93;0;6;653;0.92;21.43;;;
45.918508;6.711897;583.89;0;6;653;0.94;21.41;;;
45.918672;6.712;583.87;0;6;653;0.96;21.39;;;
45.918839;6.712106;583.94;0;6;653;0.98;21.37;;;
45.919003;6.712208;584.02;1;6;653;1;21.35;;;
45.919164;6.712322;584.18;1;6;653;1.02;21.33;;;
45.919325;6.712436;584.34;1;7;652;1.04;21.31;;;
45.919486;6.71255;584.57;1;7;652;1.06;21.29;;;
