latitude;longitude;altitude;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
46.157825;6.288664;470.38;0;0;4246;0;151.74;6;real;
46.157769;6.288908;470.42;0;0;4246;0.02;151.72;;;
46.157714;6.289156;470.51;0;1;4245;0.04;151.7;;;
46.157658;6.2894;470.7;1;1;4245;0.06;151.68;;;
46.157603;6.289647;470.85;1;1;4245;0.08;151.66;;;
46.157547;6.289894;470.95;1;1;4245;0.1;151.64;;;
46.157492;6.290142;471.03;1;1;4245;0.12;151.62;;;
46.157383;6.290633;471.21;1;2;4244;0.16;151.58;;;
46.157331;6.290881;471.44;0;2;4244;0.18;151.56;;;
46.157278;6.291131;471.51;0;2;4244;0.2;151.54;;;
46.157225;6.291378;471.62;0;2;4244;0.22;151.52;;;
46.157172;6.291625;471.64;0;2;4244;0.24;151.5;;;
46.157117;6.291872;471.7;1;2;4244;0.26;151.48;;;
46.157011;6.292367;471.92;1;2;4244;0.3;151.44;;;
46.156958;6.292614;472;1;2;4244;0.32;151.42;;;
46.156906;6.292861;472.17;1;3;4243;0.34;151.4;;;
46.156853;6.293108;472.37;1;3;4243;0.36;151.38;;;
46.1568;6.293356;472.49;1;3;4243;0.38;151.36;;;
46.156747;6.293603;472.58;1;3;4243;0.4;151.34;;;
46.156694;6.29385;472.75;1;3;4243;0.42;151.32;7;;
46.156642;6.294097;472.82;1;3;4243;0.44;151.3;;;
46.156589;6.294347;472.91;1;3;4243;0.46;151.28;;;
46.156536;6.294594;472.94;0;3;4243;0.48;151.26;;;
46.156483;6.294842;473.04;0;3;4243;0.5;151.24;;;
46.156431;6.295089;472.92;0;3;4243;0.52;151.22;;;
46.156375;6.295336;472.85;0;3;4243;0.54;151.2;;;
46.156214;6.296078;472.39;-1;3;4243;0.6;151.14;;;
46.156164;6.296325;472.31;-1;3;4243;0.62;151.12;;;
46.156111;6.296572;472.26;-1;3;4243;0.64;151.1;;;
46.156058;6.296819;472.13;-1;3;4243;0.66;151.08;;;
46.156008;6.297069;471.94;0;3;4243;0.68;151.06;;;
46.155956;6.297317;471.92;0;3;4243;0.7;151.04;;;
46.155903;6.297564;471.86;0;3;4243;0.72;151.02;;;
46.15585;6.297811;471.77;0;3;4243;0.74;151;;;
46.155797;6.298058;471.69;-1;3;4243;0.76;150.98;;;
