latitude;longitude;altitude;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
48.812822;2.035553;127.5;-1;0;690;0;115.09;6;real;
48.812919;2.035325;127.4;-1;0;690;0.02;115.07;;;
48.813019;2.035097;127.37;-1;0;690;0.04;115.05;;;
48.813117;2.034869;127.19;-1;0;690;0.06;115.03;;;
48.813217;2.034642;127.01;-1;0;690;0.08;115.01;;;
48.813317;2.034417;126.54;-2;0;690;0.1;114.99;;;
48.813419;2.034192;125.99;-2;0;690;0.12;114.97;;;
48.813611;2.033733;125.27;-2;0;690;0.16;114.93;;;
48.813708;2.033503;124.99;-1;0;690;0.18;114.91;;;
48.813808;2.033275;124.65;-1;0;690;0.2;114.89;;;
48.813906;2.033047;124.52;-1;0;690;0.22;114.87;;;
48.814003;2.032819;124.53;0;0;690;0.24;114.85;;;
48.814103;2.032592;124.61;0;0;690;0.26;114.83;;;
48.814297;2.032133;124.77;1;0;690;0.3;114.79;;;
48.814394;2.031906;125.11;1;0;690;0.32;114.77;;;
48.814494;2.031678;125.16;1;1;689;0.34;114.75;;;
48.814592;2.031447;125.34;1;1;689;0.36;114.73;;;
48.814689;2.031219;125.49;1;1;689;0.38;114.71;;;
48.814786;2.030989;125.65;1;1;689;0.4;114.69;;;
48.814881;2.030758;125.57;0;1;689;0.42;114.67;;;
48.814981;2.030531;125.75;0;1;689;0.44;114.65;;;
48.815078;2.030303;126;0;1;689;0.46;114.63;;;
48.815175;2.030075;125.84;0;1;689;0.48;114.61;;;
48.815272;2.029847;125.99;1;1;689;0.5;114.59;;;
48.815372;2.029617;126.2;1;1;689;0.52;114.57;;;
48.815469;2.029389;126.21;1;2;688;0.54;114.55;;;
48.815764;2.028706;126.6;0;2;688;0.6;114.49;;;
48.815861;2.028478;126.41;0;2;688;0.62;114.47;;;
48.815961;2.02825;126.4;-1;2;688;0.64;114.45;;;
48.816058;2.028022;126.34;-1;2;688;0.66;114.43;;;
48.816158;2.027794;126.2;-1;2;688;0.68;114.41;;;
48.816258;2.027567;126.07;-1;2;688;0.7;114.39;;;
48.816353;2.027336;125.8;-1;2;688;0.72;114.37;;;
48.81645;2.027106;125.75;-1;2;688;0.74;114.35;;;
48.816544;2.026875;125.46;-1;2;688;0.76;114.33;;;
