latitude;longitude;altitude;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
43.909828;-0.485094;46.88;1;0;834;0;169.89;5;real;
43.909919;-0.484878;46.93;1;0;834;0.02;169.87;;;
43.910008;-0.484664;46.95;1;0;834;0.04;169.85;;;
43.910097;-0.484447;47;0;0;834;0.06;169.83;;;
43.910189;-0.484231;47.02;0;0;834;0.08;169.81;;;
43.910278;-0.484017;47;0;0;834;0.1;169.79;;;
43.910367;-0.4838;46.87;-1;0;834;0.12;169.77;;;
43.910544;-0.483367;46.39;-1;0;834;0.16;169.73;;;
43.910636;-0.483153;46.13;-2;0;834;0.18;169.71;;;
43.910725;-0.482936;45.68;-2;0;834;0.2;169.69;;;
43.910822;-0.482725;45.16;-3;0;834;0.22;169.67;;;
43.910928;-0.482525;44.52;-4;0;834;0.24;169.65;;;
43.911056;-0.48235;43.49;-5;0;834;0.26;169.63;;;
43.911369;-0.482111;40.97;-6;0;834;0.3;169.59;;;
43.911533;-0.482008;40.02;-5;0;834;0.32;169.57;;;
43.911692;-0.481892;38.73;-4;0;834;0.34;169.55;;;
43.911833;-0.481739;37.88;-3;0;834;0.36;169.53;;;
43.911956;-0.481556;37.12;-2;0;834;0.38;169.51;;;
43.912061;-0.481356;36.91;-2;0;834;0.4;169.49;;;
43.912164;-0.48115;36.95;-1;1;833;0.42;169.47;;;
43.912264;-0.480942;37.06;1;1;833;0.44;169.45;;;
43.912378;-0.48075;37.31;2;1;833;0.46;169.43;;;
43.912506;-0.480578;38.03;3;2;832;0.48;169.41;;;
43.912653;-0.480436;38.97;3;2;832;0.5;169.39;;;
43.912814;-0.480322;39.74;3;3;831;0.52;169.37;;;
43.912981;-0.480231;40.35;3;4;830;0.54;169.35;;;
43.913511;-0.480181;42.13;3;5;829;0.6;169.29;;;
43.913686;-0.480242;42.64;3;6;828;0.62;169.27;;;
43.913858;-0.480319;42.95;3;6;828;0.64;169.25;;;
43.914031;-0.480394;43.25;2;6;828;0.66;169.23;;;
43.9142;-0.480469;43.58;2;7;827;0.68;169.21;;;
43.914372;-0.480544;43.91;2;7;827;0.7;169.19;;;
43.914544;-0.480617;44.28;2;8;826;0.72;169.17;;;
43.914717;-0.480692;44.5;2;8;826;0.74;169.15;;;
43.914889;-0.480767;44.91;2;8;826;0.76;169.13;;;
43.915061;-0.480842;45.29;2;9;825;0.78;169.11;;;
43.915231;-0.480917;45.6;2;9;825;0.8;169.09;;;
43.915403;-0.480992;45.87;2;10;824;0.82;169.07;;;
43.915575;-0.481064;46.24;2;10;824;0.84;169.05;;;
43.915747;-0.481139;46.63;2;10;824;0.86;169.03;;;
43.915919;-0.481211;47.07;2;11;823;0.88;169.01;;;
43.916092;-0.481286;47.56;2;11;823;0.9;168.99;;;
43.916258;-0.481381;47.95;3;12;822;0.92;168.97;;;
43.916414;-0.4815;48.51;3;13;821;0.94;168.95;;;
43.916567;-0.481636;49.23;3;13;821;0.96;168.93;;;
43.916706;-0.481792;49.95;4;14;820;0.98;168.91;;;
43.916839;-0.481961;50.69;4;14;820;1;168.89;;;
43.916969;-0.482131;51.43;4;15;819;1.02;168.87;;;
43.9171;-0.482303;52.24;4;16;818;1.04;168.85;;;
43.917231;-0.482472;52.99;3;17;817;1.06;168.83;;;
43.917364;-0.482644;53.65;3;18;816;1.08;168.81;;;
43.918017;-0.4835;55.71;1;20;814;1.18;168.71;;;
43.918147;-0.483672;55.92;1;20;814;1.2;168.69;;;
43.918278;-0.483842;56.16;1;20;814;1.22;168.67;;;
43.918408;-0.484014;56.37;1;21;813;1.24;168.65;;;
43.918539;-0.484183;56.57;1;21;813;1.26;168.63;;;
43.918669;-0.484356;56.79;1;21;813;1.28;168.61;;;
43.9188;-0.484528;57.01;1;21;813;1.3;168.59;;;
43.918931;-0.484697;57.16;1;21;813;1.32;168.57;;;
43.919061;-0.484869;57.34;1;22;812;1.34;168.55;;;
43.919192;-0.485039;57.48;1;22;812;1.36;168.53;;;
43.919325;-0.485211;57.61;1;22;812;1.38;168.51;;;
43.919456;-0.485383;57.79;1;22;812;1.4;168.49;;;
43.919586;-0.485553;57.92;1;22;812;1.42;168.47;;;
43.919717;-0.485725;58.08;1;23;811;1.44;168.45;;;
43.919844;-0.485897;58.18;1;23;811;1.46;168.43;;;
43.919975;-0.486069;58.39;1;23;811;1.48;168.41;;;
43.920106;-0.486244;58.51;1;23;811;1.5;168.39;;;
43.920233;-0.486417;58.64;1;23;811;1.52;168.37;;;
43.920364;-0.486589;58.8;1;24;810;1.54;168.35;;;
43.920494;-0.486761;58.98;1;24;810;1.56;168.33;;;
43.920625;-0.486933;59.22;1;24;810;1.58;168.31;;;
43.920756;-0.487106;59.36;1;24;810;1.6;168.29;;;
43.920886;-0.487275;59.53;1;24;810;1.62;168.27;;;
43.921017;-0.487447;59.65;1;25;809;1.64;168.25;;;
43.921147;-0.487619;59.85;1;25;809;1.66;168.23;;;
43.921278;-0.487789;59.87;1;25;809;1.68;168.21;;;
43.921408;-0.487961;59.98;1;25;809;1.7;168.19;;;
43.921539;-0.488133;60.16;1;25;809;1.72;168.17;;;
43.921669;-0.488303;60.33;1;26;808;1.74;168.15;;;
43.9218;-0.488475;60.61;1;26;808;1.76;168.13;;;
43.921931;-0.488647;60.8;1;26;808;1.78;168.11;;;
43.922061;-0.488817;61.01;1;26;808;1.8;168.09;;;
