latitude;longitude;altitude;slope;dvdone;dvrest;kmdone;kmto;cpnumero;cptype;sumcategory
43.306458;-2.944975;4;-2;0;3429;0;182.09;4;real;
43.306622;-2.944875;3;-3;0;3429;0.02;182.07;;;
43.306786;-2.944775;3;-2;1;3428;0.04;182.05;;;
43.30695;-2.944672;1;0;1;3428;0.06;182.03;;;
43.307114;-2.944572;1;1;1;3428;0.08;182.01;;;
43.307278;-2.944469;1;3;2;3427;0.1;181.99;;;
43.307444;-2.944369;2;4;2;3427;0.12;181.97;;;
43.307775;-2.944175;4;3;3;3426;0.16;181.93;;;
43.307939;-2.944075;6;3;3;3426;0.18;181.91;;;
43.308103;-2.943975;6;2;3;3426;0.2;181.89;;;
43.308267;-2.943875;7;2;4;3425;0.22;181.87;;;
43.308433;-2.943775;8;1;4;3425;0.24;181.85;;;
43.308597;-2.943675;8;1;4;3425;0.26;181.83;;;
43.308925;-2.943475;7;0;4;3425;0.3;181.79;;;
43.309089;-2.943375;6;-1;5;3424;0.32;181.77;;;
43.309256;-2.943275;6;0;5;3424;0.34;181.75;;;
43.309419;-2.943175;6;1;5;3424;0.36;181.73;;;
43.309583;-2.943075;7;2;5;3424;0.38;181.71;;;
43.30975;-2.942975;8;3;5;3424;0.4;181.69;;;
43.309914;-2.942878;10;4;5;3424;0.42;181.67;;;
43.310078;-2.942775;10;4;6;3423;0.44;181.65;;;
43.310242;-2.942672;10;4;6;3423;0.46;181.63;;;
43.310406;-2.942569;10;4;6;3423;0.48;181.61;;;
43.310569;-2.942469;10;4;6;3423;0.5;181.59;;;
43.310733;-2.942367;12;4;7;3422;0.52;181.57;;;
43.310897;-2.942267;12;3;7;3422;0.54;181.55;;;
43.311392;-2.941969;15;1;9;3420;0.6;181.49;5;;
43.311558;-2.941869;15;0;10;3419;0.62;181.47;;;
43.311722;-2.941772;14;1;10;3419;0.64;181.45;;;
43.311886;-2.941672;14;2;11;3418;0.66;181.43;;;
43.312053;-2.941575;14;2;11;3418;0.68;181.41;;;
43.312217;-2.941475;14;3;12;3417;0.7;181.39;;;
43.312381;-2.941372;14;4;12;3417;0.72;181.37;;;
43.312544;-2.941272;16;4;13;3416;0.74;181.35;;;
43.312708;-2.941172;18;5;14;3415;0.76;181.33;;;
43.312875;-2.941072;18;5;15;3414;0.78;181.31;;;
43.313039;-2.940975;20;6;16;3413;0.8;181.29;;;
43.313206;-2.940881;21;6;17;3412;0.82;181.27;;;
43.313372;-2.940783;22;5;17;3412;0.84;181.25;;;
43.313536;-2.940686;24;4;18;3411;0.86;181.23;;;
43.313703;-2.940592;25;4;19;3410;0.88;181.21;;;
43.313872;-2.940506;25;3;20;3409;0.9;181.19;;;
43.314042;-2.940425;25;2;21;3408;0.92;181.17;;;
43.314214;-2.940356;25;2;22;3407;0.94;181.15;;;
43.314389;-2.9403;25;2;23;3406;0.96;181.13;;;
43.314567;-2.940264;27;1;24;3405;0.98;181.11;;;
43.314606;-2.940111;28;1;24;3405;1;181.09;;;
43.314542;-2.939881;28;1;24;3405;1.02;181.07;;;
43.314467;-2.939658;28;0;24;3405;1.04;181.05;;;
43.314392;-2.939433;27;-1;24;3405;1.06;181.03;;;
43.314319;-2.939206;26;-1;24;3405;1.08;181.01;;;
43.313956;-2.938078;23;2;24;3405;1.18;180.91;;;
43.313886;-2.937853;24;3;24;3405;1.2;180.89;;;
43.313792;-2.937647;26;5;24;3405;1.22;180.87;;;
43.313628;-2.937558;27;5;24;3405;1.24;180.85;;;
43.313447;-2.937561;28;6;25;3404;1.26;180.83;;;
43.313269;-2.937597;30;6;25;3404;1.28;180.81;;;
43.313092;-2.937594;31;7;26;3403;1.3;180.79;;;
43.312939;-2.937469;31;7;27;3402;1.32;180.77;;;
43.312844;-2.937261;33;5;28;3401;1.34;180.75;;;
43.312778;-2.937036;36;4;28;3401;1.36;180.73;;;
43.312714;-2.936803;35;2;29;3400;1.38;180.71;;;
43.31265;-2.936572;36;1;30;3399;1.4;180.69;;;
43.312589;-2.936342;36;-1;30;3399;1.42;180.67;;;
43.312528;-2.936108;35;0;31;3398;1.44;180.65;;;
43.312467;-2.935878;35;1;32;3397;1.46;180.63;;;
43.312406;-2.935644;35;1;33;3396;1.48;180.61;;;
43.312347;-2.935411;36;2;33;3396;1.5;180.59;;;
43.312292;-2.935178;36;3;33;3396;1.52;180.57;;;
43.312233;-2.934944;37;2;33;3396;1.54;180.55;;;
43.312175;-2.934711;39;1;33;3396;1.56;180.53;;;
43.312111;-2.934481;38;-1;33;3396;1.58;180.51;;;
43.312044;-2.934253;37;-2;33;3396;1.6;180.49;;;
43.311975;-2.934025;38;-3;33;3396;1.62;180.47;;;
43.311908;-2.933794;38;-3;33;3396;1.64;180.45;;;
43.311842;-2.933567;36;-3;33;3396;1.66;180.43;;;
43.311781;-2.933336;35;-4;33;3396;1.68;180.41;;;
43.311717;-2.933106;33;-4;33;3396;1.7;180.39;;;
43.311661;-2.932869;33;-4;33;3396;1.72;180.37;;;
43.311619;-2.932631;33;-3;33;3396;1.74;180.35;;;
43.311597;-2.932386;32;-3;33;3396;1.76;180.33;;;
43.311575;-2.932142;31;-2;33;3396;1.78;180.31;;;
43.311561;-2.931894;30;-2;34;3395;1.8;180.29;;;
43.311544;-2.93165;29;-1;34;3395;1.82;180.27;;;
43.311528;-2.931406;30;0;34;3395;1.84;180.25;;;
43.311514;-2.931158;30;1;34;3395;1.86;180.23;;;
43.311497;-2.930914;30;1;35;3394;1.88;180.21;;;
43.311481;-2.930667;30;2;35;3394;1.9;180.19;;;
43.311467;-2.930422;30;3;35;3394;1.92;180.17;;;
43.31145;-2.930178;31;3;35;3394;1.94;180.15;;;
43.311433;-2.929931;32;3;36;3393;1.96;180.13;;;
43.311419;-2.929686;33;4;36;3393;1.98;180.11;;;
43.311406;-2.929439;35;4;36;3393;2;180.09;;;
43.311394;-2.929194;35;4;36;3393;2.02;180.07;;;
43.311381;-2.928947;36;2;36;3393;2.04;180.05;;;
43.311367;-2.928703;37;-1;36;3393;2.06;180.03;;;
43.311353;-2.928456;36;-3;36;3393;2.08;180.01;;;
43.311339;-2.928211;36;-6;36;3393;2.1;179.99;;;
43.311325;-2.927964;35;-8;36;3393;2.12;179.97;;;
43.311314;-2.927719;34;-8;36;3393;2.14;179.95;;;
43.3113;-2.927472;31;-8;36;3393;2.16;179.93;;;
43.311264;-2.925267;22;-2;36;3393;2.34;179.75;6;;
43.311308;-2.925028;20;-2;36;3393;2.36;179.73;;;
43.311353;-2.924789;18;-1;36;3393;2.38;179.71;;;
43.3114;-2.92455;19;-1;36;3393;2.4;179.69;;;
43.311444;-2.924311;18;0;36;3393;2.42;179.67;;;
43.311489;-2.924072;18;1;36;3393;2.44;179.65;;;
43.311536;-2.923833;19;2;36;3393;2.46;179.63;;;
43.311581;-2.923594;19;2;36;3393;2.48;179.61;;;
43.311628;-2.923356;20;3;36;3393;2.5;179.59;;;
43.311686;-2.923125;20;4;37;3392;2.52;179.57;;;
43.311781;-2.922917;22;4;38;3391;2.54;179.55;;;
43.311917;-2.922758;23;4;39;3390;2.56;179.53;;;
43.312019;-2.922603;24;4;40;3389;2.58;179.51;;;
43.312103;-2.922403;26;4;41;3388;2.6;179.49;;;
43.312267;-2.922442;26;4;42;3387;2.62;179.47;;;
43.312394;-2.922506;25;5;43;3386;2.64;179.45;;;
43.312561;-2.922414;26;5;43;3386;2.66;179.43;;;
43.312731;-2.922336;27;6;44;3385;2.68;179.41;;;
43.312903;-2.922258;28;6;45;3384;2.7;179.39;;;
43.313075;-2.922183;29;7;46;3383;2.72;179.37;;;
43.313244;-2.922108;30;6;47;3382;2.74;179.35;;;
43.313417;-2.922033;32;5;47;3382;2.76;179.33;;;
43.313589;-2.921958;34;4;48;3381;2.78;179.31;;;
43.313761;-2.921883;33;3;48;3381;2.8;179.29;;;
43.313931;-2.921808;34;2;49;3380;2.82;179.27;;;
43.314103;-2.921733;34;2;49;3380;2.84;179.25;;;
43.314272;-2.92165;35;2;50;3379;2.86;179.23;;;
43.314436;-2.92155;37;1;50;3379;2.88;179.21;;;
43.314592;-2.921425;37;1;51;3378;2.9;179.19;;;
43.314742;-2.921292;38;1;51;3378;2.92;179.17;;;
43.314889;-2.92115;38;1;52;3377;2.94;179.15;;;
43.315036;-2.921006;37;1;52;3377;2.96;179.13;;;
43.315181;-2.920858;37;2;53;3376;2.98;179.11;;;
43.315328;-2.920714;37;2;53;3376;3;179.09;;;
43.315472;-2.920572;38;2;54;3375;3.02;179.07;;;
43.315619;-2.920428;39;2;55;3374;3.04;179.05;;;
43.315769;-2.920289;39;2;56;3373;3.06;179.03;;;
43.315914;-2.920144;39;3;57;3372;3.08;179.01;7;;
43.316061;-2.92;40;3;57;3372;3.1;178.99;;;
43.316206;-2.919856;41;3;58;3371;3.12;178.97;;;
43.31635;-2.919708;42;4;59;3370;3.14;178.95;;;
43.316492;-2.919558;42;4;60;3369;3.16;178.93;;;
43.316628;-2.919397;43;5;61;3368;3.18;178.91;;;
43.316758;-2.919225;44;5;61;3368;3.2;178.89;;;
43.316881;-2.919044;45;6;62;3367;3.22;178.87;;;
43.316997;-2.918858;46;5;63;3366;3.24;178.85;;;
43.317111;-2.918667;47;4;64;3365;3.26;178.83;;;
43.317228;-2.918478;48;4;66;3363;3.28;178.81;;;
43.31735;-2.9183;50;3;67;3362;3.3;178.79;;;
43.317481;-2.918125;51;2;68;3361;3.32;178.77;;;
43.317614;-2.917964;51;5;69;3360;3.34;178.75;;;
43.317756;-2.917808;51;7;71;3358;3.36;178.73;;;
43.3179;-2.917661;50;10;72;3357;3.38;178.71;;;
43.318047;-2.917522;55;12;73;3356;3.4;178.69;;;
43.318194;-2.917378;60;15;75;3354;3.42;178.67;;;
43.318342;-2.917239;61;12;76;3353;3.44;178.65;;;
43.318486;-2.917092;63;10;77;3352;3.46;178.63;;;
43.318633;-2.916947;64;7;78;3351;3.48;178.61;;;
43.318778;-2.916803;63;5;80;3349;3.5;178.59;;;
43.318922;-2.916656;64;2;81;3348;3.52;178.57;;;
43.319069;-2.916511;66;3;82;3347;3.54;178.55;;;
43.319214;-2.916367;66;4;83;3346;3.56;178.53;;;
43.319361;-2.916225;69;4;84;3345;3.58;178.51;;;
43.319511;-2.916089;69.49;5;85;3344;3.6;178.49;;;
43.319675;-2.915983;70.48;6;86;3343;3.62;178.47;;;
43.31985;-2.915925;71.46;6;87;3342;3.64;178.45;;;
43.320028;-2.915892;72.45;6;89;3340;3.66;178.43;;;
43.320206;-2.915864;73.43;5;90;3339;3.68;178.41;;;
43.320383;-2.915828;74.42;5;91;3338;3.7;178.39;;;
43.320558;-2.915769;75.4;5;92;3337;3.72;178.37;;;
43.320725;-2.915675;76.38;5;93;3336;3.74;178.35;;;
43.320883;-2.915556;77.37;5;94;3335;3.76;178.33;;;
43.321036;-2.915428;78.35;5;95;3334;3.78;178.31;;;
43.321192;-2.9153;79.34;5;96;3333;3.8;178.29;;;
43.321344;-2.915169;80.32;5;97;3332;3.82;178.27;;;
43.321492;-2.915028;81.31;5;98;3331;3.84;178.25;;;
43.321628;-2.914869;82.29;5;99;3330;3.86;178.23;;;
43.321747;-2.914686;83.28;5;100;3329;3.88;178.21;;;
43.321858;-2.914492;84.26;5;101;3328;3.9;178.19;;;
43.321961;-2.914289;85.25;5;102;3327;3.92;178.17;;;
43.322044;-2.914072;86.23;5;103;3326;3.94;178.15;;;
43.322106;-2.913839;87.22;5;104;3325;3.96;178.13;;;
43.322167;-2.913608;88.2;5;105;3324;3.98;178.11;;;
43.322275;-2.913411;89.18;5;105;3324;4;178.09;;;
43.3226;-2.913217;91.15;5;107;3322;4.04;178.05;;;
43.322942;-2.913067;93.12;5;109;3320;4.08;178.01;;;
43.323222;-2.912769;95.09;5;111;3318;4.12;177.97;;;
43.323378;-2.912328;97.06;5;112;3317;4.16;177.93;;;
43.323433;-2.912092;98.05;4;113;3316;4.18;177.91;;;
43.323486;-2.911856;99.03;4;114;3315;4.2;177.89;;;
43.323542;-2.911622;100.02;4;115;3314;4.22;177.87;;;
43.323597;-2.911386;101;4;116;3313;4.24;177.85;;;
43.32365;-2.911153;101;4;117;3312;4.26;177.83;;;
43.323706;-2.910917;103;3;118;3311;4.28;177.81;;;
43.323772;-2.910689;105;3;118;3311;4.3;177.79;;;
43.323858;-2.910472;105;3;119;3310;4.32;177.77;;;
43.323972;-2.910281;105;3;120;3309;4.34;177.75;;;
43.324242;-2.909956;104;3;122;3307;4.38;177.71;;;
43.324506;-2.909619;106;3;123;3306;4.42;177.67;;;
43.324675;-2.909192;108;5;125;3304;4.46;177.63;;;
43.324758;-2.908711;110;6;126;3303;4.5;177.59;;;
43.324828;-2.908228;112;8;128;3301;4.54;177.55;;;
43.324917;-2.90775;116;9;130;3299;4.58;177.51;;;
43.325072;-2.907308;117;10;131;3298;4.62;177.47;;;
43.325306;-2.906936;123;4;133;3296;4.66;177.43;;;
43.325444;-2.906775;125;2;134;3295;4.68;177.41;;;
43.325594;-2.906642;122;-1;134;3295;4.7;177.39;;;
43.325753;-2.906525;122;-4;135;3294;4.72;177.37;;;
43.325914;-2.906417;120;-2;136;3293;4.74;177.35;;;
43.326078;-2.906308;121;1;137;3292;4.76;177.33;;;
43.326239;-2.9062;121;3;139;3290;4.78;177.31;;;
43.3264;-2.906092;124;6;140;3289;4.8;177.29;;;
43.326564;-2.905986;128;8;141;3288;4.82;177.27;;;
43.326728;-2.905883;128;8;143;3286;4.84;177.25;;;
43.327053;-2.905675;129;7;146;3283;4.88;177.21;;;
43.327383;-2.905475;132;6;148;3281;4.92;177.17;;;
43.327717;-2.905297;135;4;151;3278;4.96;177.13;;;
43.328056;-2.905122;137;2;153;3276;5;177.09;;;
43.328392;-2.90495;136;1;154;3275;5.04;177.05;;;
43.328728;-2.904772;136;1;154;3275;5.08;177.01;;;
43.329067;-2.904606;137;1;155;3274;5.12;176.97;;;
43.329239;-2.904539;137;2;155;3274;5.14;176.95;;;
43.329419;-2.904522;137;2;155;3274;5.16;176.93;;;
43.3296;-2.904519;139;3;155;3274;5.18;176.91;;;
43.329781;-2.904519;140;3;156;3273;5.2;176.89;;;
43.329958;-2.904519;140;4;156;3273;5.22;176.87;;;
43.330139;-2.904531;140;4;156;3273;5.24;176.85;;;
43.330317;-2.904567;141;3;156;3273;5.26;176.83;;;
43.330486;-2.904647;141;3;156;3273;5.28;176.81;;;
43.33065;-2.904753;141;2;157;3272;5.3;176.79;;;
43.330814;-2.904856;140;2;157;3272;5.32;176.77;;;
43.330989;-2.904883;142;1;157;3272;5.34;176.75;;;
43.331156;-2.904792;142;0;157;3272;5.36;176.73;;;
43.331306;-2.904656;144;0;158;3271;5.38;176.71;;;
43.33145;-2.904508;143;-1;158;3271;5.4;176.69;;;
43.331594;-2.904361;143;-2;158;3271;5.42;176.67;;;
43.331739;-2.904214;142;0;158;3271;5.44;176.65;;;
43.331883;-2.904067;141;2;159;3270;5.46;176.63;;;
43.332025;-2.903914;142;3;159;3270;5.48;176.61;;;
43.332169;-2.903769;143;5;160;3269;5.5;176.59;;;
43.332314;-2.903622;143;7;161;3268;5.52;176.57;;;
43.332458;-2.903472;149;7;162;3267;5.54;176.55;;;
43.332597;-2.903317;148;7;164;3265;5.56;176.53;;;
43.332725;-2.903144;149;8;165;3264;5.58;176.51;;;
43.332839;-2.902953;152;8;166;3263;5.6;176.49;;;
43.332944;-2.902753;154;8;168;3261;5.62;176.47;;;
43.333047;-2.90255;153;8;169;3260;5.64;176.45;;;
43.333156;-2.902356;155;7;171;3258;5.66;176.43;;;
43.333281;-2.902175;157;7;172;3257;5.68;176.41;;;
43.333425;-2.902033;157;6;173;3256;5.7;176.39;;;
43.333592;-2.901942;159;6;175;3254;5.72;176.37;;;
43.333767;-2.901875;160;5;176;3253;5.74;176.35;;;
43.333942;-2.901817;161;4;176;3253;5.76;176.33;;;
43.334117;-2.901769;162;2;177;3252;5.78;176.31;;;
43.334292;-2.901714;162;1;177;3252;5.8;176.29;;;
43.334464;-2.901642;163;0;177;3252;5.82;176.27;;;
43.334633;-2.901553;164;0;178;3251;5.84;176.25;;;
43.334797;-2.901456;163;0;178;3251;5.86;176.23;;;
43.334964;-2.901361;162;1;178;3251;5.88;176.21;;;
43.335131;-2.901267;162;1;179;3250;5.9;176.19;;;
43.335294;-2.901167;161;1;179;3250;5.92;176.17;;;
43.335461;-2.901069;161;1;179;3250;5.94;176.15;;;
43.335625;-2.900972;162;2;180;3249;5.96;176.13;;;
43.335792;-2.900875;163;2;180;3249;5.98;176.11;;;
43.335958;-2.900781;164;3;180;3249;6;176.09;;;
43.336125;-2.900686;164;3;181;3248;6.02;176.07;;;
43.336292;-2.900592;165;3;181;3248;6.04;176.05;;;
43.336456;-2.900497;166;3;182;3247;6.06;176.03;;;
43.336625;-2.900406;167;4;183;3246;6.08;176.01;;;
43.336794;-2.900322;168;4;183;3246;6.1;175.99;;;
43.336967;-2.90025;170;4;184;3245;6.12;175.97;;;
43.337142;-2.900194;170;3;184;3245;6.14;175.95;;;
43.337319;-2.900153;171;2;185;3244;6.16;175.93;;;
43.337492;-2.900097;169;1;185;3244;6.18;175.91;;;
43.337644;-2.899967;163;0;186;3243;6.2;175.89;;;
43.337747;-2.899767;165;-1;186;3243;6.22;175.87;;;
43.337814;-2.899536;170;-2;187;3242;6.24;175.85;;;
43.337875;-2.899306;170;-3;187;3242;6.26;175.83;;;
43.337942;-2.899078;167;-5;187;3242;6.28;175.81;;;
43.338033;-2.898864;164;-6;187;3242;6.3;175.79;;;
43.33815;-2.898678;166;-7;187;3242;6.32;175.77;;;
43.338289;-2.898522;164;-7;187;3242;6.34;175.75;;;
43.338447;-2.898406;162;-7;187;3242;6.36;175.73;;;
43.338611;-2.898306;162;-7;187;3242;6.38;175.71;;;
43.338775;-2.8982;159;-7;187;3242;6.4;175.69;;;
43.338928;-2.898072;159;-7;187;3242;6.42;175.67;;;
43.339058;-2.897903;158;-7;187;3242;6.44;175.65;;;
43.339158;-2.8977;154;-6;187;3242;6.46;175.63;;;
43.339233;-2.897475;156;-6;187;3242;6.48;175.61;;;
43.339311;-2.897253;158;-5;187;3242;6.5;175.59;;;
43.339408;-2.897047;153;-5;187;3242;6.52;175.57;;;
43.339553;-2.896906;150;-6;187;3242;6.54;175.55;;;
43.339725;-2.896833;150;-7;187;3242;6.56;175.53;;;
